Bacteria,,FY1985,FY1986,FY1987,FY1988,FY1989,FY1990,FY1991,FY1992,FY1993,FY1994,FY1995,FY1996,FY1997,FY1998,FY1999,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008,FY2009,FY2010,FY2011,FY2012,FY2013,FY2014,FY2015,FY2016
Acetobacter aurantius,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,15,28,64,62,80,139,209,157,168
Actinomyces israelii,,2,3,4,1,0,1,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agrobacterium radiobacter,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agrobacterium tumefaciens,,1,3,7,10,7,4,10,8,15,16,14,1,15,10,11,16,10,13,13,14,11,11,17,11,11,13,9,12,10,12,5,3
Anaplasma phagocytophilum,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,33,32,54,52,83,73,84,93,51,51,36,27
Azorhizobium caulinodans,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0
Azotobacter vinelandii,,6,8,11,11,9,8,9,8,6,6,5,1,5,4,2,3,5,11,5,2,1,2,2,1,3,1,1,1,0,0,1,0
viridans streptococci,,2,2,2,1,1,2,1,3,4,7,7,3,5,5,3,7,7,6,4,1,3,3,2,1,1,2,3,1,2,1,1,1
Bacillus anthracis,,2,1,2,1,1,1,2,0,6,6,5,0,6,5,12,24,70,182,280,324,334,311,269,252,300,287,241,271,196,164,142,100
Bacillus brevis,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
Bacillus cereus,,2,3,3,4,5,5,6,11,8,5,6,0,5,6,8,18,18,29,31,25,6,4,4,9,15,21,18,27,17,19,23,12
Bacillus fusiformis,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillus licheniformis,,6,6,7,8,7,6,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,1,1,0,0,0
Bacillus megaterium,,5,7,6,6,4,5,5,5,4,4,0,0,5,8,12,8,5,2,0,0,0,1,2,1,1,1,4,1,1,1,0,0
Bacillus mycoides,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Bacillus stearothermophilus,,3,6,7,6,7,7,6,4,2,2,2,5,4,5,12,8,9,10,7,6,9,6,2,1,3,9,8,3,2,0,0,0
Bacillus subtilis,,97,115,118,124,102,91,99,92,82,94,76,14,107,103,122,102,94,103,103,114,113,126,118,86,156,145,124,164,124,106,143,103
Bacteroides fragilis,,21,30,29,24,12,30,26,27,23,34,23,0,25,20,23,22,34,25,24,26,18,33,37,61,41,45,42,54,46,42,29,18
Bacteroides gingivalis,,16,43,83,94,82,79,66,31,25,23,11,2,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides melaninogenicus,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella melaninogenica,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
Bartonella henselae,,0,0,0,0,0,0,0,0,0,0,0,12,0,9,6,5,5,11,9,9,9,1,6,7,8,13,7,2,2,1,1,0
Bartonella quintana,,0,0,0,0,0,0,0,0,0,0,0,5,0,5,4,2,2,2,6,0,0,6,4,5,7,5,5,6,1,1,1,1
Bordetella bronchiseptica,,0,0,1,2,1,1,2,1,0,0,11,2,11,10,11,7,7,13,18,19,25,30,21,25,31,23,20,8,6,11,4,4
Bordetella pertussis,,37,51,61,56,55,85,113,120,87,65,57,27,62,77,68,56,66,52,53,55,49,44,48,40,63,59,41,38,27,45,43,42
Borrelia burgdorferi,,5,11,14,26,24,97,122,124,150,173,103,52,177,272,245,238,228,260,310,322,320,351,339,301,429,488,394,378,328,256,280,214
Brucella abortus,,2,3,6,5,5,8,9,10,16,14,13,18,7,20,13,20,20,19,42,58,27,23,16,14,14,12,10,9,13,23,26,19
Brucella melitensis,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,14,3,13,19,20,28,21,23,19,11,12,16,13
Brucella suis,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,3,3,2,3,2,4,12,6,2,2,2,1
Burkholderia mallei,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,14,14,25,44,51,63,70,84,73,32,23,5,6,8
Burkholderia pseudomallei,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,23,34,67,66,63,98,97,108,90,58,29,31,32
Burkholderia cepacia,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,3,2,4,5,7,8,5,1,2,3,4,4,12
Calymmatobacterium granulomatis,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campylobacter coli,,0,0,0,2,1,1,1,1,0,0,0,0,1,2,3,3,4,2,1,2,2,7,1,0,1,1,2,0,1,0,0,0
Campylobacter fetus,,0,1,0,9,9,9,9,8,8,7,5,0,5,16,16,16,16,16,5,5,0,0,0,0,0,0,0,0,0,0,0,0
Campylobacter jejuni,,3,5,7,10,9,29,35,29,20,25,9,2,22,38,37,28,44,43,73,98,114,75,82,55,80,119,93,52,42,50,78,68
Campylobacter pylori,,0,0,0,7,13,17,15,8,3,3,2,2,2,2,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
Chlamydia trachomatis,,55,55,46,45,43,48,64,54,65,71,78,65,120,124,130,154,142,158,116,131,135,120,159,169,227,242,191,190,166,190,191,156
Chlamydophila pneumoniae,,0,0,0,0,0,0,4,0,5,8,7,3,26,25,56,62,96,149,127,106,63,56,53,47,49,71,46,47,32,32,13,7
Chlamydia pneumoniae,,0,0,0,0,0,1,1,1,1,1,0,0,2,5,16,20,23,28,23,20,16,13,10,10,11,10,8,14,8,7,7,6
Chlamydophila psittaci,,9,5,4,5,0,2,3,3,2,2,1,0,0,1,2,2,5,5,6,10,3,8,10,8,6,6,2,1,2,1,2,0
Chlamydia psittaci,,3,3,3,0,1,1,1,3,2,1,2,0,1,2,1,2,2,3,1,1,2,1,2,1,0,0,0,2,1,1,1,1
Clostridium botulinum,,8,8,4,2,3,2,2,1,1,1,2,0,6,13,10,7,5,5,9,12,17,10,13,11,48,29,28,26,16,11,10,7
Clostridium difficile,,30,18,5,6,12,12,29,14,17,12,14,12,21,19,23,26,30,27,39,65,41,37,51,56,114,167,277,354,324,367,363,388
Clostridium perfringens,,16,16,18,3,9,8,8,3,6,0,1,0,2,2,2,2,8,4,10,9,15,25,22,14,24,18,18,16,24,20,10,15
Clostridium welchii,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium tetani,,8,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,0,0,0,1,1,3,2,2,2,2,3,3,0
Corynebacterium diphtheriae,,10,7,7,7,7,5,9,9,9,4,15,5,10,16,18,18,17,15,23,8,3,15,15,5,7,15,7,11,9,8,1,0
Corynebacterium fusiforme,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coxiella burnetii,,19,18,23,18,6,21,9,9,9,9,3,0,19,19,19,18,8,8,19,19,43,48,60,79,146,89,89,94,71,54,63,35
Ehrlichia chaffeensis,,0,0,0,0,0,0,0,0,0,1,1,0,7,11,6,13,10,36,30,39,57,55,48,30,55,44,15,10,17,14,15,25
Enterobacter cloacae,,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,2,3,3,2,1,0,0,0,0,0,1,1,2,2,5,5,1
Enterococcus avium,,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterococcus durans,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterococcus faecalis,,0,0,0,0,1,2,2,5,5,3,9,2,26,27,23,35,35,45,51,56,47,51,38,72,91,99,89,74,62,87,62,65
Enterococcus faecium,,0,0,0,0,0,0,0,0,0,0,1,0,0,12,10,14,20,22,22,14,9,16,13,15,22,36,25,26,25,28,27,26
Enterococcus galllinarum,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterococcus maloratus,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escherichia coli,,1116,1172,1215,1305,1257,1336,1429,1416,1378,1380,1227,498,1449,1627,1698,1572,1521,1548,1340,1170,1204,1271,1247,1272,1726,1677,1450,1306,1031,959,899,729
Francisella tularensis,,0,0,0,1,0,4,0,0,1,1,1,1,1,1,3,8,17,35,134,188,272,268,310,228,307,283,220,213,193,105,60,43
Fusobacterium nucleatum,,13,12,8,13,6,7,2,4,4,14,2,2,7,20,21,25,28,30,34,38,21,27,32,32,30,31,27,23,16,12,16,8
Gardnerella vaginalis,,0,0,7,1,1,1,1,1,2,1,1,2,1,1,2,2,4,6,1,2,3,2,1,2,1,3,9,12,7,12,15,19
Haemophilus ducreyi,,0,0,0,0,0,5,13,17,34,27,28,16,49,67,77,65,56,35,42,47,44,51,84,59,52,54,72,67,25,13,10,2
Haemophilus influenzae,,59,63,72,56,56,75,89,82,86,84,40,25,49,59,75,93,93,136,124,85,105,117,110,108,145,76,71,67,43,28,18,18
Haemophilus parainfluenzae,,0,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,7,0,0,0,1,0,0
Haemophilus pertussis,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Haemophilus vaginalis,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori,,0,0,0,0,0,1,5,27,56,74,118,42,339,340,457,367,483,401,430,424,410,360,445,510,719,637,564,599,504,393,452,477
Klebsiella pneumoniae,,9,11,15,13,13,16,14,10,10,10,1,5,4,12,15,12,19,18,21,23,30,28,34,29,41,43,46,55,52,72,86,96
Lactobacillus acidophilus,,1,1,2,1,0,0,2,2,3,2,2,0,0,2,2,3,3,3,0,0,0,0,0,1,3,5,5,12,12,13,12,4
Lactobacillus bulgaricus,,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus casei,,13,9,14,10,13,9,8,3,3,6,8,8,3,7,12,9,8,4,1,0,0,0,5,10,9,8,4,5,2,0,0,1
Lactococcus lactis,,0,0,0,0,0,0,5,3,2,3,3,1,3,4,3,2,5,12,12,15,10,11,8,5,6,11,14,13,9,10,5,9
Legionella pneumophila,,27,30,26,20,31,46,49,46,38,14,15,3,49,55,60,49,43,31,42,30,40,51,73,71,119,92,93,97,66,49,61,49
Listeria monocytogenes,,20,21,14,15,10,11,25,26,23,25,34,14,63,94,111,120,142,138,152,134,143,183,177,157,177,179,122,147,116,124,142,88
Methanobacterium extroquens,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microbacterium multiforme,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micrococcus luteus,,4,3,4,3,3,2,2,2,1,0,1,0,1,2,2,7,3,3,3,4,2,4,4,2,0,0,0,2,1,1,1,0
Moraxella catarrhalis,,0,0,0,0,0,0,0,0,4,7,4,0,7,4,17,25,29,44,42,23,27,41,41,38,60,35,21,31,29,21,15,20
Mycobacterium avium,,15,13,15,19,23,67,71,78,83,107,82,41,104,135,123,94,93,96,49,56,36,46,33,39,26,44,42,40,41,35,11,1
Mycobacterium bovis,,2,4,11,12,11,9,13,15,18,15,14,8,24,25,25,20,23,18,24,31,30,22,29,32,34,25,25,22,22,18,7,5
Mycobacterium diphtheriae,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mycobacterium intracellulare,,7,6,2,2,1,6,4,5,1,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,0,0
